Year,Training Phase,Week,Squad Status,Player,total distance,distance per min,high speed running (absolute),hml distance,max speed,% of Max Speed,sprints,sprint distance,distance zone 6 (relative),distance zone 6 (absolute),accelerations (absolute),decelerations (absolute),average heart rate,max heart rate,Time above 85% Heart Rate,time in heart rate zone 5 (relative),time in heart rate zone 6 (relative),hmld per minute
2026,Block 2,1,Rehab,Player 2,18009.0,225.1,930.0,1443.0,26.44,93.7,7,343.0,157.2,151.0,51,41,144,193,19,5.9,4.8,33.8
2026,Block 2,2,Active,Player 2,19179.0,239.7,1371.0,2953.0,26.92,91.6,20,348.0,87.1,130.4,61,58,143,186,34,11.7,3.9,38.8
2026,Block 2,3,Rehab,Player 2,17185.0,214.8,1372.0,3414.0,30.12,96.1,13,121.0,112.7,59.4,58,41,152,187,25,12.6,3.9,43.0
2026,Block 2,4,Active,Player 2,19158.0,239.5,610.0,3800.0,28.09,86.0,13,343.0,120.4,61.6,59,70,145,199,41,10.1,4.0,42.6
2026,Block 3,1,Rehab,Player 2,19911.0,248.9,1040.0,2363.0,30.4,89.8,8,278.0,129.7,147.2,69,38,158,188,27,7.5,3.4,29.0
2026,Block 3,2,Active,Player 2,15553.0,194.4,1164.0,3439.0,26.68,95.8,20,148.0,139.4,130.4,73,58,151,189,34,14.3,2.8,31.0
2026,Block 3,3,Active,Player 2,14467.0,180.8,975.0,2470.0,27.44,93.5,10,198.0,194.6,182.4,32,52,149,194,41,6.0,6.6,18.7
2026,Block 3,4,Active,Player 2,14083.0,176.0,718.0,2368.0,31.8,99.0,11,255.0,183.4,71.4,35,56,155,198,37,11.5,5.4,25.1
2026,Block 1,1,Rehab,Player 3,14076.0,175.9,1133.0,1671.0,30.39,87.6,19,377.0,66.2,199.8,46,30,155,199,38,11.7,4.0,25.8
2026,Block 1,2,Rehab,Player 3,14343.0,179.3,1239.0,2490.0,29.47,86.2,8,336.0,163.2,64.8,30,40,149,195,39,7.7,3.6,29.2
2026,Block 1,3,Rehab,Player 3,16384.0,204.8,943.0,1738.0,30.56,89.8,5,263.0,54.7,134.4,34,33,141,194,25,10.2,5.6,22.3
2026,Block 1,4,Rehab,Player 3,14390.0,179.9,1145.0,1609.0,29.4,90.0,7,228.0,158.6,122.2,64,71,149,200,15,13.1,3.7,30.1
2026,Block 2,1,Active,Player 3,16360.0,204.5,1409.0,3055.0,26.98,99.0,19,129.0,170.8,170.8,37,79,142,199,45,8.7,3.5,38.8
2026,Block 2,2,Rehab,Player 3,14928.0,186.6,680.0,2292.0,31.08,99.2,11,387.0,167.6,195.5,63,35,146,185,29,11.9,3.2,44.9
2026,Block 2,3,Rehab,Player 3,15100.0,188.8,1141.0,1860.0,26.83,87.0,18,111.0,139.3,185.6,65,50,144,191,23,8.9,2.3,44.8
2026,Block 2,4,Active,Player 3,20551.0,256.9,1084.0,3872.0,32.47,99.0,12,110.0,199.2,177.0,74,47,149,180,30,11.3,3.5,30.4
2026,Block 3,1,Rehab,Player 3,14294.0,178.7,706.0,1995.0,29.5,97.6,17,389.0,137.3,95.8,54,68,145,191,29,9.8,7.3,30.4
2026,Block 3,2,Active,Player 3,18442.0,230.5,1008.0,2448.0,26.77,90.1,15,205.0,158.6,56.0,72,59,148,183,20,13.9,7.5,33.6
2026,Block 3,3,Rehab,Player 3,16133.0,201.7,1057.0,2431.0,32.35,96.7,7,352.0,140.4,114.3,73,51,160,190,18,5.2,4.5,34.6
2026,Block 3,4,Active,Player 3,17792.0,222.4,984.0,2951.0,30.0,93.4,17,364.0,158.6,97.8,51,41,157,199,33,5.7,7.6,44.1
2026,Block 1,1,Rehab,Player 4,20912.0,261.4,980.0,2571.0,32.31,97.2,20,296.0,101.9,100.2,59,47,142,197,16,11.2,5.9,31.5
2026,Block 1,2,Rehab,Player 4,19158.0,239.5,983.0,3151.0,28.42,87.4,11,211.0,196.0,108.3,62,66,142,185,30,6.9,7.0,41.6
2026,Block 1,3,Active,Player 4,18983.0,237.3,955.0,1558.0,29.41,85.8,8,303.0,175.4,71.3,64,57,158,191,25,5.4,7.4,22.3
2026,Block 1,4,Rehab,Player 4,16919.0,211.5,1207.0,1855.0,31.49,96.0,11,277.0,174.6,150.4,54,64,157,192,43,14.0,2.2,34.6
2026,Block 2,1,Active,Player 4,18490.0,231.1,667.0,1887.0,29.72,88.3,8,369.0,158.0,153.4,53,54,157,180,28,13.2,5.2,38.7
2026,Block 2,2,Rehab,Player 4,17172.0,214.7,1000.0,3601.0,31.21,87.2,16,263.0,136.8,92.4,57,76,149,180,17,12.7,6.5,27.0
2026,Block 2,3,Active,Player 4,19843.0,248.0,717.0,1484.0,29.83,93.0,19,393.0,191.4,102.3,75,64,145,184,36,7.1,5.7,27.7
2026,Block 2,4,Rehab,Player 4,16188.0,202.3,1247.0,2273.0,29.53,97.2,19,360.0,90.1,139.6,76,66,142,198,35,5.7,7.5,42.9
2026,Block 3,1,Rehab,Player 4,17501.0,218.8,637.0,2781.0,29.03,91.8,8,139.0,68.2,100.2,32,38,149,187,18,9.9,7.8,32.8
2026,Block 3,2,Rehab,Player 4,16270.0,203.4,1272.0,2999.0,31.63,91.5,20,141.0,177.6,155.5,35,68,141,182,31,7.0,6.1,17.8
2026,Block 3,3,Rehab,Player 4,14799.0,185.0,848.0,3694.0,30.81,97.0,12,272.0,110.8,119.3,68,50,158,189,28,9.3,7.1,20.3
2026,Block 3,4,Rehab,Player 4,19965.0,249.6,599.0,2598.0,30.31,94.7,10,380.0,125.6,195.1,39,30,148,191,21,9.9,3.5,18.9
2026,Block 1,1,Rehab,Player 5,14773.0,184.7,1125.0,2450.0,31.67,96.8,15,231.0,190.3,148.7,45,57,152,194,16,5.4,6.0,31.4
2026,Block 1,2,Active,Player 5,19541.0,244.3,587.0,1462.0,27.58,94.7,10,310.0,159.6,150.9,38,47,151,191,23,6.7,6.2,18.5
2026,Block 1,3,Active,Player 5,21378.0,267.2,1094.0,3933.0,28.27,91.3,15,171.0,174.8,173.4,79,76,153,193,41,8.7,6.6,24.5
2026,Block 1,4,Rehab,Player 5,15678.0,196.0,1042.0,1909.0,30.57,97.9,13,162.0,175.5,164.5,78,48,146,195,33,7.1,7.2,20.2
2026,Block 2,1,Rehab,Player 5,20461.0,255.8,873.0,1818.0,30.7,93.3,20,219.0,94.8,198.9,47,42,160,185,33,6.2,5.9,17.5
2026,Block 2,2,Rehab,Player 5,15355.0,191.9,1082.0,2261.0,32.15,97.8,10,239.0,90.3,139.4,69,35,160,194,24,12.3,8.0,18.9
2026,Block 2,3,Active,Player 5,16651.0,208.1,867.0,1554.0,28.14,96.7,8,186.0,165.8,158.5,35,40,156,199,45,8.2,7.9,30.6
2026,Block 2,4,Active,Player 5,18416.0,230.2,847.0,2520.0,31.65,98.8,11,360.0,128.8,185.2,41,69,158,183,36,5.2,4.0,44.7
2026,Block 3,1,Rehab,Player 5,15660.0,195.8,1113.0,3105.0,32.26,85.5,18,224.0,75.7,158.0,56,53,160,182,40,5.6,5.1,28.7
2026,Block 3,2,Active,Player 5,21058.0,263.2,1095.0,3033.0,31.27,97.1,19,362.0,188.1,50.2,46,63,147,194,40,5.2,2.2,27.6
2026,Block 3,3,Rehab,Player 5,18481.0,231.0,1453.0,1772.0,29.88,87.4,10,390.0,129.9,89.0,69,62,140,184,17,10.4,5.2,32.0
2026,Block 3,4,Active,Player 5,17088.0,213.6,644.0,2091.0,28.96,85.8,13,291.0,181.1,82.7,77,53,149,188,44,10.5,4.0,17.6
2026,Block 1,1,Active,Player 6,20090.0,251.1,778.0,3111.0,26.41,94.5,5,172.0,128.5,194.3,44,46,150,192,34,12.3,5.2,36.7
2026,Block 1,2,Active,Player 6,19772.0,247.2,1368.0,3986.0,32.62,89.8,8,153.0,62.6,144.5,36,58,146,196,27,5.3,7.1,31.5
2026,Block 1,3,Active,Player 6,16308.0,203.8,1293.0,2187.0,30.93,94.5,12,260.0,155.5,87.3,58,31,140,197,31,13.4,3.3,42.9
2026,Block 1,4,Rehab,Player 6,21720.0,271.5,745.0,2500.0,28.75,88.8,5,280.0,109.3,139.1,49,78,153,189,33,6.7,5.9,34.7
2026,Block 2,1,Active,Player 6,14405.0,180.1,1335.0,1577.0,26.15,96.4,11,364.0,53.3,81.9,38,48,150,191,29,12.9,6.0,25.6
2026,Block 2,2,Rehab,Player 6,15407.0,192.6,815.0,2614.0,30.11,90.6,5,149.0,112.4,123.4,62,64,143,193,30,12.2,7.8,17.4
2026,Block 2,3,Rehab,Player 6,21635.0,270.4,712.0,1749.0,28.22,89.0,6,167.0,56.9,156.2,60,46,148,193,32,9.6,5.7,42.8
2026,Block 2,4,Rehab,Player 6,19001.0,237.5,759.0,1450.0,27.68,88.9,15,216.0,67.1,75.8,46,50,151,197,19,5.0,4.7,38.9
2026,Block 3,1,Active,Player 6,14901.0,186.3,595.0,1928.0,26.38,93.6,11,323.0,95.4,135.6,65,77,140,188,29,14.5,7.4,20.4
2026,Block 3,2,Rehab,Player 6,15239.0,190.5,1022.0,2245.0,30.0,96.0,17,283.0,135.7,177.9,70,52,146,193,22,12.4,7.0,21.3
2026,Block 3,3,Active,Player 6,15505.0,193.8,785.0,3018.0,30.79,91.0,12,135.0,81.5,197.2,80,69,150,191,40,12.9,6.9,32.0
2026,Block 3,4,Rehab,Player 6,16368.0,204.6,824.0,2992.0,30.37,90.6,19,251.0,185.4,153.8,49,60,140,182,29,10.9,2.6,28.5
2026,Block 1,1,Rehab,Player 7,18736.0,234.2,773.0,3467.0,27.59,86.9,18,321.0,149.4,145.5,70,65,160,187,25,6.1,7.2,28.6
2026,Block 1,2,Rehab,Player 7,21415.0,267.7,523.0,2163.0,31.68,97.4,16,385.0,127.4,108.4,34,57,141,193,38,9.9,5.3,37.8
2026,Block 1,3,Active,Player 7,18571.0,232.1,1031.0,3447.0,28.89,92.6,14,190.0,92.6,123.9,46,36,151,186,35,13.4,5.0,38.6
2026,Block 1,4,Active,Player 7,16271.0,203.4,1185.0,1774.0,28.65,85.8,11,384.0,95.6,72.5,70,76,154,197,31,14.4,6.9,32.6
2026,Block 2,1,Rehab,Player 7,14054.0,175.7,550.0,2263.0,28.78,89.0,15,377.0,83.7,59.9,36,80,150,194,16,13.4,3.5,20.8
2026,Block 2,2,Active,Player 7,16134.0,201.7,509.0,2033.0,27.09,87.2,11,313.0,141.2,76.6,50,38,153,193,32,7.9,6.3,38.5
2026,Block 2,3,Rehab,Player 7,20918.0,261.5,975.0,1766.0,26.52,87.1,6,154.0,138.4,157.0,51,42,142,200,19,9.6,5.3,33.8
2026,Block 2,4,Active,Player 7,15209.0,190.1,755.0,3197.0,29.65,90.9,18,394.0,159.7,148.3,70,42,148,183,36,12.5,8.0,36.8
2026,Block 3,1,Rehab,Player 7,15947.0,199.3,1240.0,3565.0,29.95,93.5,16,384.0,134.6,113.9,54,70,148,187,19,9.7,5.9,37.5
2026,Block 3,2,Rehab,Player 7,18135.0,226.7,884.0,3212.0,32.04,98.6,17,224.0,83.0,139.2,75,72,145,189,35,6.4,4.3,17.6
2026,Block 3,3,Rehab,Player 7,15406.0,192.6,720.0,1941.0,32.69,89.1,20,346.0,178.7,63.6,31,49,160,184,36,8.1,5.4,28.8
2026,Block 3,4,Active,Player 7,14437.0,180.5,1261.0,2504.0,28.77,92.4,9,240.0,174.5,53.7,75,39,147,187,18,8.0,6.2,15.9
2026,Block 1,1,Rehab,Player 8,18569.0,232.1,505.0,3140.0,28.79,95.9,8,119.0,57.3,181.7,72,63,152,191,38,14.2,2.1,18.2
2026,Block 1,2,Active,Player 8,18691.0,233.6,785.0,3580.0,30.31,91.1,8,305.0,158.3,184.7,53,40,142,183,42,6.2,3.6,28.5
2026,Block 1,3,Rehab,Player 8,14264.0,178.3,829.0,1931.0,27.03,91.5,18,136.0,78.6,78.3,55,75,142,195,21,10.8,8.0,20.8
2026,Block 1,4,Active,Player 8,18459.0,230.7,729.0,2567.0,30.48,93.1,11,308.0,167.4,149.3,30,63,156,193,40,6.1,2.5,19.9
2026,Block 2,1,Active,Player 8,21695.0,271.2,504.0,2160.0,31.1,87.5,20,222.0,145.9,114.6,53,38,150,186,33,5.6,4.6,17.2
2026,Block 2,2,Rehab,Player 8,18055.0,225.7,616.0,3856.0,30.42,98.8,16,274.0,190.8,86.6,65,60,145,191,39,11.7,3.1,28.1
2026,Block 2,3,Active,Player 8,15362.0,192.0,820.0,3632.0,26.88,98.5,9,379.0,149.6,157.0,77,52,145,194,27,9.2,4.7,23.2
2026,Block 2,4,Active,Player 8,20837.0,260.5,955.0,1527.0,29.92,91.5,17,363.0,102.5,181.2,35,74,148,192,24,5.9,8.0,21.9
2026,Block 3,1,Rehab,Player 8,18442.0,230.5,1146.0,1974.0,28.62,99.5,9,379.0,140.8,73.9,54,30,155,180,39,7.2,7.7,40.4
2026,Block 3,2,Rehab,Player 8,14348.0,179.3,553.0,3121.0,29.31,95.4,9,213.0,92.6,175.9,46,62,160,184,29,7.8,7.2,42.2
2026,Block 3,3,Rehab,Player 8,20005.0,250.1,570.0,2907.0,26.02,99.6,19,345.0,113.8,184.9,78,42,142,199,27,11.4,7.2,26.1
2026,Block 3,4,Active,Player 8,20534.0,256.7,947.0,3566.0,31.61,93.4,5,380.0,69.7,175.6,36,53,155,200,23,9.8,6.2,18.8
2026,Block 1,1,Active,Player 9,14232.0,177.9,914.0,2461.0,27.67,86.2,8,289.0,145.2,71.3,59,54,152,188,44,8.2,4.0,29.7
2026,Block 1,2,Active,Player 9,16156.0,201.9,913.0,2240.0,29.68,94.3,15,264.0,60.4,65.6,54,77,155,195,24,7.5,6.9,38.6
2026,Block 1,3,Active,Player 9,20852.0,260.6,540.0,2211.0,26.93,92.2,12,179.0,118.2,148.9,65,32,153,194,40,14.2,6.9,19.7
2026,Block 1,4,Active,Player 9,19664.0,245.8,634.0,2652.0,30.72,99.9,20,156.0,167.6,143.4,51,67,157,187,39,12.8,4.2,17.9
2026,Block 2,1,Active,Player 9,19042.0,238.0,707.0,1549.0,29.5,95.8,14,102.0,59.6,85.4,66,64,147,182,33,14.5,5.5,21.4
2026,Block 2,2,Active,Player 9,18807.0,235.1,1168.0,2290.0,28.11,95.3,13,155.0,106.4,100.5,44,74,160,190,18,5.2,2.7,26.7
2026,Block 2,3,Rehab,Player 9,16992.0,212.4,1329.0,1419.0,29.7,97.2,5,297.0,179.3,121.4,46,78,146,193,40,8.4,2.6,30.2
2026,Block 2,4,Active,Player 9,18991.0,237.4,977.0,2421.0,29.71,97.9,16,301.0,137.9,152.7,79,47,153,200,35,11.2,2.2,27.7
2026,Block 3,1,Rehab,Player 9,16478.0,206.0,1274.0,1723.0,30.55,90.3,20,365.0,107.2,142.0,54,46,145,193,31,12.2,7.9,33.8
2026,Block 3,2,Rehab,Player 9,19235.0,240.4,831.0,2388.0,32.23,94.0,17,267.0,152.0,96.8,77,74,141,198,39,10.3,7.1,32.7
2026,Block 3,3,Rehab,Player 9,19406.0,242.6,1443.0,2241.0,31.08,98.6,17,251.0,76.2,141.9,35,65,146,186,25,11.0,5.8,37.0
2026,Block 3,4,Rehab,Player 9,21950.0,274.4,715.0,1895.0,27.06,85.9,15,375.0,199.9,198.6,59,67,147,199,24,5.8,6.3,23.7
2026,Block 1,1,Rehab,Player 10,18423.0,230.3,589.0,3177.0,27.68,95.5,10,220.0,89.2,100.7,60,72,149,190,20,9.9,5.0,29.2
2026,Block 1,2,Active,Player 10,21001.0,262.5,778.0,3159.0,30.35,86.2,16,352.0,134.5,136.1,80,57,160,183,20,8.9,6.2,40.3
2026,Block 1,3,Active,Player 10,19691.0,246.1,804.0,1834.0,26.48,99.6,12,154.0,67.1,60.3,80,79,147,187,19,8.7,7.4,31.5
2026,Block 1,4,Active,Player 10,17199.0,215.0,934.0,1825.0,32.82,93.9,15,298.0,170.8,136.0,73,30,155,187,31,14.4,5.8,34.7
2026,Block 2,1,Active,Player 10,20369.0,254.6,1409.0,2153.0,26.41,89.1,5,311.0,175.3,196.7,55,75,143,191,21,14.8,3.5,30.0
2026,Block 2,2,Active,Player 10,21292.0,266.1,1496.0,2338.0,32.98,86.3,13,323.0,92.2,61.1,49,36,141,183,26,13.7,6.0,43.2
2026,Block 2,3,Rehab,Player 10,16636.0,207.9,1093.0,2159.0,29.58,98.9,7,231.0,73.6,87.8,37,63,156,200,31,7.6,4.8,43.1
2026,Block 2,4,Active,Player 10,15272.0,190.9,993.0,2978.0,31.65,98.1,13,371.0,158.6,56.2,61,51,143,181,40,9.4,6.9,17.8
2026,Block 3,1,Rehab,Player 10,18699.0,233.7,1163.0,1761.0,31.54,85.8,5,130.0,138.7,115.8,32,45,141,182,17,13.0,3.8,33.4
2026,Block 3,2,Active,Player 10,15447.0,193.1,551.0,3434.0,29.42,91.4,19,113.0,180.0,82.1,46,60,159,181,28,10.9,7.0,21.8
2026,Block 3,3,Rehab,Player 10,18307.0,228.8,718.0,3019.0,31.93,97.7,6,255.0,113.8,68.3,39,41,160,189,28,12.9,7.3,38.3
2026,Block 3,4,Active,Player 10,20457.0,255.7,817.0,3673.0,27.96,93.0,15,212.0,132.3,154.8,59,32,147,195,25,5.3,6.0,31.0
2026,Block 1,1,Active,Player 11,20269.0,253.4,504.0,2069.0,27.73,95.6,20,131.0,103.8,73.7,31,56,154,186,24,8.2,3.4,37.3
2026,Block 1,2,Rehab,Player 11,20786.0,259.8,648.0,2703.0,27.44,97.2,16,312.0,109.3,193.3,49,59,149,196,30,6.7,4.3,18.5
2026,Block 1,3,Rehab,Player 11,15899.0,198.7,1138.0,2112.0,28.49,85.3,20,174.0,170.4,109.1,54,71,142,190,37,13.8,5.2,18.2
2026,Block 1,4,Active,Player 11,21460.0,268.2,1207.0,3655.0,32.87,93.4,17,136.0,60.2,146.9,67,66,159,189,35,12.0,7.7,23.6
2026,Block 2,1,Active,Player 11,17161.0,214.5,1283.0,2616.0,27.11,85.3,10,229.0,116.1,113.8,42,39,155,180,29,12.5,5.7,39.8
2026,Block 2,2,Rehab,Player 11,16527.0,206.6,686.0,2595.0,27.12,90.5,8,142.0,108.7,162.5,42,55,154,190,26,5.4,4.7,15.6
2026,Block 2,3,Active,Player 11,16626.0,207.8,1444.0,3512.0,26.34,87.9,14,119.0,129.2,70.4,79,66,153,195,39,7.3,5.7,23.8
2026,Block 2,4,Active,Player 11,15256.0,190.7,745.0,2325.0,28.26,99.5,17,326.0,145.4,166.0,42,53,150,197,20,9.7,6.5,44.4
2026,Block 3,1,Active,Player 11,20651.0,258.1,1144.0,2858.0,28.22,85.9,11,364.0,177.9,121.2,58,42,160,186,19,11.2,6.5,39.2
2026,Block 3,2,Rehab,Player 11,14266.0,178.3,948.0,3214.0,26.3,89.9,14,395.0,75.0,126.7,33,33,140,194,36,11.4,3.2,19.2
2026,Block 3,3,Active,Player 11,15557.0,194.5,1006.0,2341.0,30.17,88.2,7,233.0,170.1,89.6,39,32,158,194,44,11.1,5.6,18.2
2026,Block 3,4,Rehab,Player 11,20125.0,251.6,784.0,1532.0,26.19,85.0,19,352.0,129.4,169.4,58,40,160,196,40,12.5,4.5,30.2
2026,Block 1,1,Active,Player 12,17551.0,219.4,999.0,2444.0,31.58,98.0,12,198.0,145.6,158.3,37,61,148,198,15,7.6,2.0,32.8
2026,Block 1,2,Rehab,Player 12,18781.0,234.8,658.0,1907.0,28.07,90.7,15,228.0,66.9,116.8,55,72,158,189,26,10.5,7.0,34.9
2026,Block 1,3,Rehab,Player 12,21276.0,265.9,604.0,1984.0,30.83,92.6,9,149.0,67.5,148.1,46,43,159,195,31,7.6,7.0,37.5
2026,Block 1,4,Rehab,Player 12,14052.0,175.7,557.0,3544.0,29.45,86.5,18,280.0,81.5,185.7,34,42,141,187,38,11.4,3.9,38.8
2026,Block 2,1,Active,Player 12,15359.0,192.0,725.0,2162.0,31.0,95.4,19,188.0,66.5,175.0,50,72,146,193,34,14.4,2.0,26.1
2026,Block 2,2,Active,Player 12,21368.0,267.1,950.0,2133.0,31.53,98.0,12,230.0,67.2,167.7,77,36,149,190,32,7.2,3.0,23.9
2026,Block 2,3,Active,Player 12,18786.0,234.8,870.0,3101.0,32.54,97.5,9,203.0,170.2,53.5,45,46,153,197,17,13.2,4.1,42.9
2026,Block 2,4,Active,Player 12,17953.0,224.4,1243.0,3686.0,32.15,99.7,9,342.0,56.5,136.9,65,67,143,183,39,11.1,7.0,40.8
2026,Block 3,1,Rehab,Player 12,16146.0,201.8,843.0,3036.0,26.16,92.2,6,182.0,140.5,135.0,72,38,160,195,28,12.7,6.2,34.0
2026,Block 3,2,Rehab,Player 12,14451.0,180.6,529.0,2359.0,29.58,97.3,15,277.0,50.4,91.9,55,32,141,192,42,11.4,3.3,40.7
2026,Block 3,3,Rehab,Player 12,16254.0,203.2,551.0,2089.0,30.04,96.4,20,349.0,114.6,129.0,74,58,158,181,18,14.3,6.1,23.1
2026,Block 3,4,Active,Player 12,16059.0,200.7,668.0,2346.0,29.75,95.6,13,153.0,64.8,88.5,33,64,156,181,29,11.1,4.6,16.1
2026,Block 1,1,Rehab,Player 13,21898.0,273.7,1198.0,2446.0,27.55,90.3,5,353.0,64.0,189.0,70,76,158,181,24,7.0,4.5,17.9
2026,Block 1,2,Rehab,Player 13,20339.0,254.2,950.0,2406.0,27.35,95.0,8,327.0,58.2,191.1,65,44,158,186,31,12.4,4.6,27.9
2026,Block 1,3,Rehab,Player 13,19426.0,242.8,807.0,3585.0,28.85,96.4,13,128.0,127.9,59.2,40,75,147,199,39,12.7,4.2,34.9
2026,Block 1,4,Active,Player 13,20057.0,250.7,699.0,1905.0,30.94,96.6,10,311.0,133.4,64.2,55,75,155,189,34,10.6,7.8,25.1
2026,Block 2,1,Rehab,Player 13,16413.0,205.2,505.0,2982.0,26.13,99.0,17,256.0,188.2,67.4,58,35,154,187,43,13.4,7.3,36.5
2026,Block 2,2,Active,Player 13,18520.0,231.5,602.0,1676.0,26.39,96.4,14,164.0,62.5,138.2,35,44,159,182,26,13.2,7.5,16.0
2026,Block 2,3,Active,Player 13,17820.0,222.8,1106.0,3612.0,32.39,87.9,18,158.0,195.4,176.4,36,64,151,194,33,12.0,2.2,37.6
2026,Block 2,4,Active,Player 13,21107.0,263.8,524.0,1533.0,28.84,92.4,18,254.0,127.8,150.0,72,44,150,183,45,11.5,6.2,44.4
2026,Block 3,1,Rehab,Player 13,16015.0,200.2,1019.0,3007.0,26.82,95.2,15,174.0,166.5,157.5,67,80,145,198,26,11.2,2.7,22.6
2026,Block 3,2,Rehab,Player 13,15157.0,189.5,818.0,3075.0,31.77,99.1,5,146.0,99.1,163.6,36,73,152,187,20,5.6,3.1,40.5
2026,Block 3,3,Active,Player 13,20312.0,253.9,572.0,2581.0,26.67,97.3,13,311.0,107.7,98.3,72,34,150,192,24,12.1,7.5,40.2
2026,Block 3,4,Rehab,Player 13,20017.0,250.2,1127.0,3511.0,29.34,85.2,16,250.0,195.6,62.4,66,31,156,198,17,9.3,2.6,37.4
2026,Block 1,1,Active,Player 14,17835.0,222.9,1201.0,3864.0,32.32,89.0,13,256.0,134.3,71.5,72,52,144,194,35,12.5,5.5,24.2
2026,Block 1,2,Rehab,Player 14,14588.0,182.3,513.0,3664.0,32.41,86.8,12,136.0,183.1,75.3,64,38,159,186,20,7.1,6.1,15.3
2026,Block 1,3,Active,Player 14,17218.0,215.2,950.0,2087.0,29.65,98.8,17,109.0,76.0,155.8,31,47,149,200,36,8.4,5.4,24.8
2026,Block 1,4,Active,Player 14,17648.0,220.6,1264.0,3902.0,31.75,88.1,12,150.0,109.0,132.4,31,36,147,183,27,6.8,6.9,44.8
2026,Block 2,1,Rehab,Player 14,20333.0,254.2,1025.0,3242.0,29.23,96.3,20,291.0,87.7,127.7,57,40,158,192,41,6.7,3.6,19.9
2026,Block 2,2,Active,Player 14,14853.0,185.7,1180.0,1891.0,29.53,93.2,18,250.0,142.9,70.6,62,68,156,188,44,6.3,6.4,40.9
2026,Block 2,3,Active,Player 14,18930.0,236.6,641.0,2616.0,30.5,89.6,12,198.0,113.8,160.0,40,58,152,180,39,9.1,7.6,18.5
2026,Block 2,4,Active,Player 14,17670.0,220.9,1275.0,2185.0,31.72,88.6,18,241.0,117.5,89.5,41,68,148,191,38,7.4,6.1,16.5
2026,Block 3,1,Active,Player 14,16736.0,209.2,827.0,2805.0,27.74,91.1,20,223.0,160.2,152.5,57,52,159,198,23,9.1,6.3,43.4
2026,Block 3,2,Rehab,Player 14,14440.0,180.5,1010.0,3460.0,31.03,90.9,14,107.0,118.0,83.2,55,38,141,186,28,12.9,2.2,23.5
2026,Block 3,3,Rehab,Player 14,20114.0,251.4,1395.0,3854.0,29.12,89.1,6,174.0,157.1,54.3,73,42,152,200,29,12.1,2.6,16.5
